Filename	**REDACTED**
Instrument name	HR20 **REDACTED**
Operator	**REDACTED**
rundate	**REDACTED**
Sample name	**REDACTED**
Geometry name	8 mm parallel plate, ETC Stainless steel, Disposable
Procedure name	Options
	Sample
	Options
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	End of test
proceduresegments	Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#End of test
[step]
Time sweep - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	min	°C	°	rad
1,49214	0,0133195	8,92649e-3	10,0001	1495,88	0,10	170,00	0,512254	2,00415e-3
1,49252	0,0134164	8,98913e-3	10,0001	1493,70	0,21	170,00	0,515848	2,00055e-3
1,49297	0,0136936	9,17206e-3	10,0001	1494,30	0,31	170,00	0,526343	2,00041e-3
1,49420	0,0141430	9,46527e-3	10,0001	1495,28	0,42	169,99	0,543166	1,99999e-3
1,49510	0,0141764	9,48193e-3	10,0001	1496,44	0,52	170,00	0,544121	2,00023e-3
1,49631	0,0143242	9,57303e-3	10,0001	1497,52	0,62	170,00	0,549346	2,00005e-3
1,49700	0,0145431	9,71480e-3	10,0001	1498,66	0,72	170,00	0,557479	2,00014e-3
1,49846	0,0147676	9,85520e-3	10,0001	1499,88	0,83	169,99	0,565533	1,99989e-3
1,49958	0,0149470	9,96748e-3	10,0001	1501,20	0,93	169,99	0,571973	2,00008e-3
1,50065	0,0152224	0,0101438	10,0001	1502,43	1,04	170,00	0,582091	2,00001e-3
1,50184	0,0155568	0,0103585	10,0001	1503,73	1,14	169,99	0,594407	1,99994e-3
1,50271	0,0156300	0,0104012	10,0001	1504,90	1,24	169,99	0,596855	2,00028e-3
1,50412	0,0159629	0,0106128	10,0001	1506,12	1,35	169,99	0,608994	1,99979e-3
1,50510	0,0161574	0,0107351	10,0001	1507,44	1,45	169,99	0,616007	2,00022e-3
1,50618	0,0164921	0,0109496	10,0001	1508,65	1,55	169,99	0,628313	1,99986e-3
1,50756	0,0166539	0,0110469	10,0001	1510,04	1,66	169,98	0,633896	1,99999e-3
1,50864	0,0167697	0,0111157	10,0001	1511,24	1,76	170,00	0,637841	2,00014e-3
1,50974	0,0170084	0,0112658	10,0001	1512,38	1,87	170,01	0,646448	2,00008e-3
1,51047	0,0171068	0,0113255	10,0001	1513,43	1,97	170,01	0,649871	2,00031e-3
1,51217	0,0175381	0,0115979	10,0001	1514,73	2,07	170,00	0,665499	1,99961e-3
1,51330	0,0176593	0,0116695	10,0001	1516,29	2,18	170,00	0,669601	2,00006e-3
1,51451	0,0178381	0,0117782	10,0001	1517,52	2,28	170,01	0,675836	2,00002e-3
1,51563	0,0181162	0,0119529	10,0001	1518,80	2,38	170,01	0,685858	2,00003e-3
1,51665	0,0181569	0,0119718	10,0001	1519,96	2,49	170,01	0,686938	2,00018e-3
1,51776	0,0183917	0,0121177	10,0001	1521,11	2,59	170,01	0,695308	2,00000e-3
1,51870	0,0185268	0,0121991	10,0001	1522,32	2,69	170,01	0,699979	2,00015e-3
1,52016	0,0187704	0,0123477	10,0001	1523,58	2,80	169,99	0,708498	1,99990e-3
1,52125	0,0188540	0,0123938	10,0001	1524,92	2,90	170,00	0,711139	2,00007e-3
1,52253	0,0191914	0,0126050	10,0001	1526,23	3,00	170,00	0,723253	1,99988e-3
1,52363	0,0193194	0,0126799	10,0001	1527,57	3,11	169,99	0,727549	2,00008e-3
1,52504	0,0196565	0,0128892	10,0001	1528,90	3,21	170,00	0,739555	1,99990e-3
1,52600	0,0197374	0,0129340	10,0001	1530,29	3,31	170,00	0,742125	2,00004e-3
1,52765	0,0201628	0,0131986	10,0001	1531,70	3,42	170,00	0,757301	1,99979e-3
1,52871	0,0201648	0,0131907	10,0001	1533,05	3,52	170,00	0,756845	2,00017e-3
1,52982	0,0204077	0,0133400	10,0001	1534,15	3,63	170,00	0,765404	2,00008e-3
1,53111	0,0206738	0,0135025	10,0001	1535,47	3,73	170,00	0,774725	1,99991e-3
1,53196	0,0207864	0,0135685	10,0001	1536,78	3,83	170,00	0,778507	2,00013e-3
1,53388	0,0211574	0,0137934	10,0001	1538,20	3,94	169,99	0,791406	1,99966e-3
1,53490	0,0211990	0,0138113	10,0001	1539,69	4,04	170,00	0,792431	2,00016e-3
1,53615	0,0213881	0,0139232	10,0001	1540,86	4,14	170,00	0,798846	1,99999e-3
1,53771	0,0217018	0,0141130	10,0001	1542,35	4,25	169,99	0,809735	1,99975e-3
1,53884	0,0218058	0,0141703	10,0001	1543,85	4,35	170,00	0,813019	2,00003e-3
1,54015	0,0219738	0,0142673	10,0001	1545,15	4,46	170,00	0,818579	2,00000e-3
1,54116	0,0220947	0,0143364	10,0001	1546,35	4,56	169,99	0,822540	2,00016e-3
1,54237	0,0222374	0,0144177	10,0001	1547,51	4,66	169,99	0,827200	2,00007e-3
1,54390	0,0224840	0,0145631	10,0001	1548,94	4,77	170,00	0,835537	1,99977e-3
1,54504	0,0226553	0,0146632	10,0001	1550,43	4,87	170,00	0,841277	2,00000e-3
1,54663	0,0229262	0,0148233	10,0001	1551,91	4,97	170,00	0,850455	1,99975e-3
1,54758	0,0229649	0,0148393	10,0001	1553,29	5,08	170,00	0,851370	2,00024e-3
1,54872	0,0231262	0,0149324	10,0001	1554,37	5,18	170,00	0,856708	2,00012e-3
1,54988	0,0232277	0,0149868	10,0001	1555,56	5,28	170,00	0,859823	2,00008e-3
1,55127	0,0234907	0,0151429	10,0001	1556,89	5,39	170,00	0,868775	1,99992e-3
1,55287	0,0238334	0,0153480	10,0001	1558,49	5,49	170,00	0,880538	1,99970e-3
1,55390	0,0238692	0,0153609	10,0001	1559,92	5,59	170,01	0,881273	2,00023e-3
1,55468	0,0238745	0,0153565	10,0001	1560,91	5,70	170,01	0,881022	2,00030e-3
1,55601	0,0240561	0,0154601	10,0001	1562,03	5,80	170,01	0,886957	1,99998e-3
1,55736	0,0242399	0,0155647	10,0001	1563,36	5,90	170,00	0,892957	2,00004e-3
1,55881	0,0244438	0,0156811	10,0001	1564,80	6,01	170,01	0,899629	1,99980e-3
1,55959	0,0244596	0,0156833	10,0001	1566,10	6,11	170,01	0,899755	2,00031e-3
1,56092	0,0245592	0,0157338	10,0001	1567,21	6,21	170,00	0,902644	1,99997e-3
1,56226	0,0247010	0,0158111	10,0001	1568,59	6,32	170,00	0,907075	1,99997e-3
1,56395	0,0249651	0,0159629	10,0001	1570,20	6,42	170,01	0,915780	1,99968e-3
1,56503	0,0249680	0,0159537	10,0001	1571,68	6,52	170,00	0,915250	2,00023e-3
1,56618	0,0250253	0,0159786	10,0001	1572,80	6,63	170,00	0,916674	2,00008e-3
1,56743	0,0251627	0,0160535	10,0001	1574,11	6,73	169,99	0,920963	1,99994e-3
